Article:,Link:,Year Published:,Lot Number,Summary
Sumoylation regulates the assembly and activity of the SMN complex,https://www.nature.com/articles/s41467-021-25272-5,2021,,
Systemic delivery of rAAV9-IκBα stabilized atherosclerotic plaques and attenuated intra-plaque inflammation by inhibiting nuclear factor-κB activation in apolipoprotein E-deficient mice,ResearchGate record,2021,,
A functional cellular framework for sex and estrous cycle-dependent gene expression and behavior,https://www.sciencedirect.com/science/article/pii/S009286742101494X,2022,,
AAV-BR1 targets endothelial cells in the retina to reveal their morphological diversity and to deliver Cx43,PMC,2022,,
An efficient rAAV vector for protein expression in cortical parvalbumin expressing interneurons,PMC,2022,,
"Analysis of thermally driven structural changes, genome release, disassembly, and aggregation of recombinant AAV by CDMS",https://www.sciencedirect.com/science/article/pii/S2329050122001504,2022,,
Anion-Exchange Chromatography at the Service of Gene Therapy: Baseline Separation of Full/Empty AAV Capsids by Screening of Conditions and Step Gradient Elution Mode,https://pmc.ncbi.nlm.nih.gov/articles/PMC9604245/,2022,,
Antiviral Targeting of Varicella Zoster Virus Replication and Neuronal Reactivation Using CRISPR/Cas9 Cleavage of the Duplicated Open Reading Frames 62/71,https://pmc.ncbi.nlm.nih.gov/articles/PMC8880005/,2022,,
Assessing production variability in empty and filled adeno-associated viruses by single molecule mass analyses,https://pmc.ncbi.nlm.nih.gov/articles/PMC9706604/,2022,,
Cell-specific regulation of gene expression using splicing-dependent frameshifting,https://www.nature.com/articles/s41467-022-33523-2,2022,,
Cholinergic feedback to bipolar cells contributes to motion detection in the mouse retina,https://pmc.ncbi.nlm.nih.gov/articles/PMC8793255/,2022,,
Clinical enrollment assay to detect preexisting neutralizing antibodies to AAV6 with demonstrated transgene expression in gene therapy trials,https://www.nature.com/articles/s41434-022-00353-2,2022,,
Confirmatory detection of neutralizing antibodies to AAV gene therapy using a cell-based transduction inhibition assay,https://pmc.ncbi.nlm.nih.gov/articles/PMC8803586/,2022,,
Disruption of mitochondrial complex I induces progressive parkinsonism,https://pmc.ncbi.nlm.nih.gov/articles/PMC9189968/,2022,,
Dopamine D2 receptors modulate the cholinergic pause and inhibitory learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC9106808/,2022,,
Effective targeting of microglial P2X7 following intracerebroventricular delivery of nanobodies and nanobody-encoding AAVs,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2022.1029236/full,2022,,
EHMT2 methyltransferase governs cell identity in the lung and is required for KRAS G12D tumor development and propagation,PMC,2022,,
Evaluation of nanobody-based biologics targeting purinergic checkpoints in tumor models in vivo,PMC,2022,,
Global Seroprevalence of Pre-existing Immunity Against AAV5 and Other AAV Serotypes in People with Hemophilia A,PMC,2022,,
Inflammation-activated C/EBPβ mediates high-fat diet-induced depression-like behaviors in mice,PMC,2022,,
Inhibition of miR-128 Enhances Vocal Sequence Organization in Juvenile Songbirds,https://www.frontiersin.org/journals/behavioral-neuroscience/articles/10.3389/fnbeh.2022.833383/full,2022,,
Mapping and targeted viral activation of pancreatic nerves in mice reveal their roles in the regulation of glucose metabolism,PMC,2022,,
Mechanism of stress-induced attacks in an episodic neurologic disorder,https://pmc.ncbi.nlm.nih.gov/articles/PMC9020779/,2022,,
Neuropeptide Y suppresses thermogenic and cardiovascular sympathetic nerve activity via Y1 receptors in the paraventricular nucleus and dorsomedial hypothalamus,https://pmc.ncbi.nlm.nih.gov/articles/PMC8653878/,2022,,
Pathway-Specific Remodeling of Thalamostriatal Synapses in a Mouse Model of Parkinson's Disease,https://movementdisorders.onlinelibrary.wiley.com/doi/full/10.1002/mds.29030,2022,,
Population-wide gene disruption in the murine lung epithelium via AAV-mediated delivery of CRISPR-Cas9 components,PMC,2022,,
Preserved Motility after Neonatal Dopaminergic Lesion Relates to Hyperexcitability of Direct Pathway Medium Spiny Neurons,PMC,2022,,
Rapid characterization of adeno-associated virus (AAV) gene therapy vectors by mass photometry,https://pmc.ncbi.nlm.nih.gov/articles/PMC9296698/,2022,,
Stability and Dissociation of Adeno-Associated Viral Capsids by Variable Temperature-Charge Detection-Mass Spectrometry,https://pubs.acs.org/doi/10.1021/acs.analchem.2c02378,2022,,
Subgenomic particles in rAAV vectors result from DNA lesion/break and non-homologous end joining of vector genomes,https://www.sciencedirect.com/science/article/pii/S2162253122002268,2022,,
Suppression of choroidal neovascularization and epithelial-mesenchymal transition in retinal pigmented epithelium by adeno-associated virus-mediated overexpression of CCN5 in mice,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0269937&utm_source=chatgpt.com,2022,,
Targeted activation of ERK1/2 reduces ischemia and reperfusion injury in hyperglycemic myocardium by improving mitochondrial function,https://pmc.ncbi.nlm.nih.gov/articles/PMC9761117/,2022,,
Targeted Expression of Retinoschisin by Retinal Bipolar Cells in XLRS Promotes Resolution of Retinoschisis Cysts Sans RS1 From Photoreceptors,PMC,2022,,
Targeted ubiquitination of sensory neuron calcium channels reduces the development of neuropathic pain,PMC,2022,,
The pale spear-nosed bat: A neuromolecular and transgenic model for vocal learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC9826251/,2022,,
Trans-Seq maps a selective mammalian retinotectal synapse instructed by Nephronectin,https://www.researchgate.net/publication/360428168_Trans-Seq_maps_a_selective_mammalian_retinotectal_synapse_instructed_by_Nephronectin,2022,V117-UCSF86,
Establishment of a platform imaged capillary isoelectric focusing method for AAV characterization,ScienceDirect,2022,,
Purification of Adeno-Associated Virus (AAV) Serotype 2 from Spodoptera frugiperda (Sf9) Lysate by Chromatographic Nonwoven Membranes,MDPI,2022,,
Liver-originated small extracellular vesicles with TM4SF5 target brown adipose tissue for homeostatic glucose clearance,Journal of Extracellular Vesicles,2022,,
‘Development of a Rapid Adeno-Associated Virus (AAV) Identity Testing Platform through Comprehensive Intact Mass Analysis of Full-Length AAV Capsid Proteins’:,https://pmc.ncbi.nlm.nih.gov/articles/PMC10775144/,2023,,
A neural circuit for male sexual behavior and reward,https://www.sciencedirect.com/science/article/pii/S0092867423007985,2023,,
A non-canonical striatopallidal Go pathway that supports motor control,https://www.nature.com/articles/s41467-023-42288-1,2023,,
A sleep-active basalocortical pathway crucial for generation and maintenance of chronic pain,https://pmc.ncbi.nlm.nih.gov/articles/PMC10010379/,2023,,
AAV-mediated neuronal expression of an scFv antibody selective for Aβ oligomers protects synapses and rescues memory in Alzheimer models,ScienceDirect,2023,,
Astrocyte–neuron subproteomes and obsessive–compulsive disorder mechanisms,https://www.nature.com/articles/s41586-023-05927-7,2023,,
Boosting the Separation of Adeno-Associated Virus Capsid Proteins by Liquid Chromatography and Capillary Electrophoresis Approaches,https://pmc.ncbi.nlm.nih.gov/articles/PMC10218170/,2023,,
Cholinergic deficits selectively boost cortical intratelencephalic control of striatum in male Huntington’s disease model mice,https://www.nature.com/articles/s41467-023-36556-3,2023,,
Combined RNA interference and gene replacement therapy targeting MFN2 as proof of principle for the treatment of Charcot–Marie–Tooth type 2A,https://link.springer.com/article/10.1007/s00018-023-05018-w,2023,,
Development of a highly sensitive imaged cIEF immunoassay for studying AAV capsid protein charge heterogeneity,https://pubmed.ncbi.nlm.nih.gov/37138377/,2023,,
Development of an icIEF assay for monitoring AAV capsid proteins and application to gene therapy products,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070887/,2023,,
